SYSTEM, FRAME, xAxis, yAxis, zAxis
Complex, 1,-2.780210094225948e-6,2.3624076645194555e-5,0
Complex, 2,-0.28649376331170634,-0.34861824167545746,0
Complex, 3,1.409472322057829,-2.296208189974664,1
Complex, 4,0.7374318260995617,-1.9237081452975997,0
Complex, 5,-0.16997496779306745,-2.1420730156426657,-2
Complex, 6,-2.983517511262302,-1.9926173151477433,1
Complex, 7,-3.339530651816428,-1.3283247131191005,3
Complex, 8,-4.626407233889305,-1.3545649719177797,3
Complex, 9,-3.759423275493014,-0.5076651022590022,5
Complex, 10,-2.714471300324618,-0.00290415469328396,0
Complex, 11,-4.608517544061945,-1.8767712400738503,0
Complex, 12,-3.926060783258559,-2.2695784953179823,0
Complex, 13,-3.7148475413685587,0.8044104993001671,-1
Complex, 14,-0.9640247098232168,-1.0324636175564843,-3
Complex, 15,-1.0962176279394313,-1.0952063232818616,-4
Complex, 16,-1.4544875401975164,-2.7136009751382724,-6
Complex, 17,-1.3343484130154264,-2.45625808434576,-5
Complex, 18,-0.017965945296937767,-4.157823548727344,-7
Complex, 19,0.031055839535293974,-3.7000878359223113,-8
Complex, 20,0.6778929464676126,-1.948477446382332,-8
Complex, 21,0.003826309372755512,-0.41722329699779,-9
Complex, 22,0.7468662448405842,0.23900581916715163,-11
Complex, 23,-1.7496988192765304,-0.9157042943998147,-11
Complex, 24,-1.268964324781888,-1.4357699034915092,-10
Complex, 25,-5.311932386300387,-1.1708845437711681,-12
Complex, 26,-6.561070664350304,-0.1308326516606741,-10
Complex, 27,-7.298273289654276,0.1425209965889724,-9
Complex, 28,-7.621272080708508,0.4649887058315871,-8
Complex, 29,-7.312480256361563,1.8851043150942601,-10
Complex, 30,-7.809605288584419,1.45546562073555,-12
Complex, 31,-8.727111293596634,2.9116611725156556,-12
Complex, 32,-7.42124926836029,2.2641072604140917,-10
Complex, 33,-8.47411420568863,0.36106437020489474,-12
Complex, 34,-8.759602648623076,0.905755284493712,-10
Complex, 35,-9.638443113677797,2.0120371942690425,-9
Complex, 36,-7.269772506645918,5.015896479371438,-11
Complex, 37,-6.678469582317088,5.476149810993189,-13
Complex, 38,-6.225615661481996,6.820194912121904,-11
Complex, 39,-5.69567909375409,4.957081214709467,-11
Complex, 40,-7.159380583560067,3.806352265423564,-12
Complex, 41,-5.259720659378962,2.082924390801629,-10
Complex, 42,-4.002984230189843,-0.20151203228081754,-11
Complex, 43,-3.6642369838682876,-1.2180945285644016,-12
Complex, 44,-3.5762021026652984,-0.7874674481465672,-13
Complex, 45,-1.6421847575759545,-1.9328541775640715,-14
Complex, 46,-1.2923088475350768,-2.6413918459136276,-14
Complex, 47,-2.6478471984621232,-4.168974215938858,-17
Complex, 48,-1.6749430162614414,-1.8595306584554592,-21
Complex, 49,-3.563346421033601,-1.8711192510092887,-21
Complex, 50,-2.9797034353484375,-2.12052363709996,-24
Complex, 51,-3.5143960600651565,-2.984717034134484,-25
Complex, 52,-3.345290952461923,-2.629295035161867,-21
Complex, 53,-5.0570222090801344,-4.019947512887449,-17
Complex, 54,-6.58113611911204,-5.0035332539715744,-14
Complex, 55,-7.030434502043984,-6.00486281909018,-17
Complex, 56,-7.979101049582066,-6.265964274869684,-13
Complex, 57,-9.83290936818818,-6.077629720149051,-12
Complex, 58,-10.693070469211863,-6.849430084213008,-12
Complex, 59,-9.176279768441004,-5.183727906640489,-12
Complex, 60,-10.46185207586606,-4.085105812738188,-7
Complex, 61,-9.92957360126097,-5.095473858100419,-7
Complex, 62,-9.310926973591718,-2.3223858113471088,-7
Complex, 63,-9.600417066605457,-0.738515817738517,-4
Complex, 64,-8.545214357688373,-2.369962979767046,-2
Complex, 65,-8.698392554230999,-2.2292497840371883,-3
Complex, 66,-9.145295201126046,-5.062601046364089,-3
Complex, 67,-11.279580420108731,-5.7216227832862545,-2
Complex, 68,-9.781898987148436,-5.0932128623403,2
Complex, 69,-9.207574192992116,-6.230499690278377,0
Complex, 70,-9.656964228499826,-5.328989730099904,0
Complex, 71,-7.091154426053788,-4.696422434914083,-2
Complex, 72,-7.354091442770285,-6.57913427889064,1
Complex, 73,-7.8111405543386,-8.141934658375524,2
Complex, 74,-6.680349082494605,-7.064974258247461,0
Complex, 75,-7.7275536387975166,-8.92345716383913,-2
Complex, 76,-7.688081002939149,-6.696119508272392,-6
Complex, 77,-7.25853952085618,-5.8955729016352425,-8
Complex, 78,-9.232894831535715,-5.04866060182154,-6
Complex, 79,-8.249033584443968,-5.40656814783815,-10
Complex, 80,-8.148930787614164,-4.037614358466657,-7
Complex, 81,-10.382338482003247,-3.00488967306479,-5
Complex, 82,-11.197476950947793,-2.9230418193652175,-11
Complex, 83,-10.3016122226007,-1.6356801793955396,-12
Complex, 84,-10.342030406458095,-0.957935027228949,-9
Complex, 85,-9.547026812945642,-0.060002796380767935,-8
Complex, 86,-9.148176665362396,0.7029680814015803,-8
Complex, 87,-7.672774604083864,-1.2407909169403963,-6
Complex, 88,-9.788513183674775,-0.8836874147470598,-7
