TYPE,FRAME, RADIOG
Protein, 1, 25.205620776190056
Complex, 1, 25.205620776190056
Protein, 2, 25.394554348332676
Complex, 2, 25.394554348332676
Protein, 3, 25.45557148890639
Complex, 3, 25.45557148890639
Protein, 4, 24.805660046891933
Complex, 4, 24.805660046891933
Protein, 5, 24.44974145979505
Complex, 5, 24.44974145979505
Protein, 6, 24.42430998707848
Complex, 6, 24.42430998707848
Protein, 7, 24.825916917383935
Complex, 7, 24.825916917383935
Protein, 8, 24.75631743203964
Complex, 8, 24.75631743203964
Protein, 9, 24.91230908262556
Complex, 9, 24.91230908262556
Protein, 10, 24.365329806691367
Complex, 10, 24.365329806691367
Protein, 11, 24.484673324384048
Complex, 11, 24.484673324384048
Protein, 12, 24.536398090402727
Complex, 12, 24.536398090402727
Protein, 13, 24.726049647825754
Complex, 13, 24.726049647825754
Protein, 14, 24.74654718793561
Complex, 14, 24.74654718793561
Protein, 15, 24.090508500902597
Complex, 15, 24.090508500902597
Protein, 16, 24.519216931577333
Complex, 16, 24.519216931577333
Protein, 17, 24.495348735217323
Complex, 17, 24.495348735217323
Protein, 18, 24.238010379239093
Complex, 18, 24.238010379239093
Protein, 19, 23.921721601721288
Complex, 19, 23.921721601721288
Protein, 20, 23.905499658773664
Complex, 20, 23.905499658773664
Protein, 21, 23.932659605443284
Complex, 21, 23.932659605443284
Protein, 22, 23.47449761332385
Complex, 22, 23.47449761332385
Protein, 23, 23.459190886914303
Complex, 23, 23.459190886914303
Protein, 24, 23.486898157988044
Complex, 24, 23.486898157988044
Protein, 25, 23.74672823856278
Complex, 25, 23.74672823856278
Protein, 26, 23.53271277117463
Complex, 26, 23.53271277117463
Protein, 27, 23.76549994897007
Complex, 27, 23.76549994897007
Protein, 28, 23.65375329874946
Complex, 28, 23.65375329874946
Protein, 29, 23.336552073242245
Complex, 29, 23.336552073242245
Protein, 30, 23.114553712512873
Complex, 30, 23.114553712512873
Protein, 31, 23.227460238084063
Complex, 31, 23.227460238084063
Protein, 32, 22.927619328589277
Complex, 32, 22.927619328589277
Protein, 33, 22.867793152547787
Complex, 33, 22.867793152547787
Protein, 34, 22.961529358316383
Complex, 34, 22.961529358316383
Protein, 35, 23.222644176622918
Complex, 35, 23.222644176622918
Protein, 36, 23.2919952573223
Complex, 36, 23.2919952573223
Protein, 37, 23.349986068828407
Complex, 37, 23.349986068828407
Protein, 38, 23.154478153168988
Complex, 38, 23.154478153168988
Protein, 39, 23.665366891137282
Complex, 39, 23.665366891137282
Protein, 40, 23.546341762489526
Complex, 40, 23.546341762489526
Protein, 41, 24.12262209986838
Complex, 41, 24.12262209986838
Protein, 42, 23.965352404640985
Complex, 42, 23.965352404640985
Protein, 43, 23.853203657797053
Complex, 43, 23.853203657797053
Protein, 44, 23.605138607165827
Complex, 44, 23.605138607165827
Protein, 45, 23.652414025449534
Complex, 45, 23.652414025449534
Protein, 46, 23.691348849269893
Complex, 46, 23.691348849269893
Protein, 47, 23.772122869911165
Complex, 47, 23.772122869911165
Protein, 48, 23.84399365514661
Complex, 48, 23.84399365514661
Protein, 49, 24.212243398464075
Complex, 49, 24.212243398464075
Protein, 50, 24.27244095981672
Complex, 50, 24.27244095981672
Protein, 51, 23.859556533787636
Complex, 51, 23.859556533787636
Protein, 52, 23.974090672618676
Complex, 52, 23.974090672618676
Protein, 53, 23.671482392051235
Complex, 53, 23.671482392051235
Protein, 54, 23.26754273945258
Complex, 54, 23.26754273945258
Protein, 55, 23.208523176975966
Complex, 55, 23.208523176975966
Protein, 56, 23.29919698423891
Complex, 56, 23.29919698423891
Protein, 57, 23.73052816964911
Complex, 57, 23.73052816964911
Protein, 58, 24.06221814629132
Complex, 58, 24.06221814629132
Protein, 59, 24.151338892044073
Complex, 59, 24.151338892044073
Protein, 60, 23.755460513840887
Complex, 60, 23.755460513840887
Protein, 61, 23.752674836567717
Complex, 61, 23.752674836567717
Protein, 62, 23.70848661001888
Complex, 62, 23.70848661001888
Protein, 63, 24.10692287411547
Complex, 63, 24.10692287411547
Protein, 64, 24.126369282902463
