SYSTEM, FRAME,RMSD
Complex, 1, 0.0004953182069584727
Complex, 2, 0.8989834785461426
Complex, 3, 1.0999358892440796
Complex, 4, 1.2263411283493042
Complex, 5, 0.9959686994552612
Complex, 6, 1.1721229553222656
Complex, 7, 1.67293381690979
Complex, 8, 1.8500406742095947
Complex, 9, 2.079393148422241
Complex, 10, 1.466115117073059
Complex, 11, 1.9761618375778198
Complex, 12, 1.8320673704147339
Complex, 13, 1.2013235092163086
Complex, 14, 1.5990670919418335
Complex, 15, 1.5123168230056763
Complex, 16, 1.6287837028503418
Complex, 17, 1.4910674095153809
Complex, 18, 1.4320592880249023
Complex, 19, 1.5027192831039429
Complex, 20, 1.523079514503479
Complex, 21, 1.5737566947937012
Complex, 22, 2.1536340713500977
Complex, 23, 2.1418468952178955
Complex, 24, 1.6971547603607178
Complex, 25, 1.349703073501587
Complex, 26, 1.29586923122406
Complex, 27, 1.1371921300888062
Complex, 28, 1.3374203443527222
Complex, 29, 1.4072299003601074
Complex, 30, 1.3366514444351196
Complex, 31, 1.7104021310806274
Complex, 32, 1.9165802001953125
Complex, 33, 1.6033989191055298
Complex, 34, 1.7982546091079712
Complex, 35, 2.0039687156677246
Complex, 36, 2.272751569747925
Complex, 37, 1.934613585472107
Complex, 38, 1.7697285413742065
Complex, 39, 1.7205698490142822
Complex, 40, 1.4697895050048828
Complex, 41, 1.4094446897506714
Complex, 42, 1.3775852918624878
Complex, 43, 1.591456413269043
Complex, 44, 1.4076963663101196
Complex, 45, 2.0250749588012695
Complex, 46, 1.6613752841949463
Complex, 47, 1.560691237449646
Complex, 48, 1.4859236478805542
Complex, 49, 1.3978036642074585
Complex, 50, 1.3419289588928223
Complex, 51, 1.642180323600769
Complex, 52, 1.5929527282714844
Complex, 53, 1.3602402210235596
Complex, 54, 1.5004065036773682
Complex, 55, 1.1564744710922241
Complex, 56, 1.6717963218688965
Complex, 57, 1.522129774093628
Complex, 58, 1.3655319213867188
Complex, 59, 1.43203604221344
Complex, 60, 1.2666845321655273
Complex, 61, 1.8526320457458496
Complex, 62, 1.6163921356201172
Complex, 63, 1.552277684211731
Complex, 64, 1.883286476135254
Complex, 65, 1.4502007961273193
Complex, 66, 1.8250563144683838
Complex, 67, 1.9533778429031372
Complex, 68, 2.30614972114563
Complex, 69, 2.7428414821624756
Complex, 70, 2.857673168182373
Complex, 71, 2.300553321838379
Complex, 72, 2.081690549850464
Complex, 73, 2.413151741027832
Complex, 74, 2.166407346725464
Complex, 75, 2.566797971725464
Complex, 76, 2.2311837673187256
Complex, 77, 2.803403854370117
Complex, 78, 2.9882688522338867
Complex, 79, 3.495858907699585
Complex, 80, 3.4513893127441406
Complex, 81, 3.228132963180542
Complex, 82, 2.9726974964141846
Complex, 83, 2.6247572898864746
Complex, 84, 2.9763171672821045
Complex, 85, 3.427319288253784
Complex, 86, 2.952479124069214
Complex, 87, 2.546978235244751
Complex, 88, 2.674374580383301
Complex, 89, 2.6719322204589844
Complex, 90, 2.2682764530181885
Complex, 91, 2.4633848667144775
Complex, 92, 2.8960607051849365
Complex, 93, 2.869126081466675
Complex, 94, 2.8071653842926025
Complex, 95, 2.632277727127075
Complex, 96, 2.3954594135284424
Complex, 97, 3.0323572158813477
Complex, 98, 3.0728964805603027
Complex, 99, 2.9760406017303467
Complex, 100, 2.7295408248901367
Complex, 101, 2.575923204421997
Complex, 102, 2.383335590362549
Complex, 103, 2.7990639209747314
Complex, 104, 3.299922227859497
