POSE, TYPE, FRAME, RADIOG
sw06, Protein, 1, 24.604811822448887
sw06, Complex, 1, 24.56042916992046
sw06, Protein, 2, 24.624547450867027
sw06, Complex, 2, 24.58122535953172
sw06, Protein, 3, 24.6706505588153
sw06, Complex, 3, 24.628185433299652
sw06, Protein, 4, 24.6343856699694
sw06, Complex, 4, 24.591448648632294
sw06, Protein, 5, 24.60425155324461
sw06, Complex, 5, 24.560186809210066
sw06, Protein, 6, 24.56479410976311
sw06, Complex, 6, 24.520590166157778
sw06, Protein, 7, 24.92311578050399
sw06, Complex, 7, 24.8829679252439
sw06, Protein, 8, 24.630920782688527
sw06, Complex, 8, 24.586758127982492
sw06, Protein, 9, 24.66612419720209
sw06, Complex, 9, 24.623268106426483
sw06, Protein, 10, 24.680616066718812
sw06, Complex, 10, 24.639736552192712
sw06, Protein, 11, 24.757371207027337
sw06, Complex, 11, 24.7142947349084
sw06, Protein, 12, 24.50408903515188
sw06, Complex, 12, 24.45928345672949
sw06, Protein, 13, 24.982850525628976
sw06, Complex, 13, 24.936743576458067
sw06, Protein, 14, 25.03288304804294
sw06, Complex, 14, 24.98742961025189
sw06, Protein, 15, 25.069576023540407
sw06, Complex, 15, 25.023640622617055
sw06, Protein, 16, 24.868993060485472
sw06, Complex, 16, 24.823979548673442
sw06, Protein, 17, 24.923015445307787
sw06, Complex, 17, 24.877159540779616
sw06, Protein, 18, 24.275843725359394
sw06, Complex, 18, 24.227821498053604
sw06, Protein, 19, 24.350359542422062
sw06, Complex, 19, 24.3041454472421
sw06, Protein, 20, 24.212929339448706
sw06, Complex, 20, 24.166112397715388
sw06, Protein, 21, 24.207290226412155
sw06, Complex, 21, 24.166767428314433
sw06, Protein, 22, 24.15794052431937
sw06, Complex, 22, 24.119060369392958
sw06, Protein, 23, 23.96798652917447
sw06, Complex, 23, 23.918995028462312
sw06, Protein, 24, 23.98326626981573
sw06, Complex, 24, 23.94105981999431
sw06, Protein, 25, 23.85743588238363
sw06, Complex, 25, 23.82349198861117
sw06, Protein, 26, 23.921464517296624
sw06, Complex, 26, 23.883698586274207
sw06, Protein, 27, 23.882644039975556
sw06, Complex, 27, 23.851414835957076
sw06, Protein, 28, 23.786173633601297
sw06, Complex, 28, 23.747840537245413
sw06, Protein, 29, 24.202217441291346
sw06, Complex, 29, 24.17020709347162
sw06, Protein, 30, 24.237987475590636
sw06, Complex, 30, 24.201849442623285
sw06, Protein, 31, 24.054909656449553
sw06, Complex, 31, 24.02788521472323
sw06, Protein, 32, 24.13627218795794
sw06, Complex, 32, 24.100072862704632
sw06, Protein, 33, 24.23444403563017
sw06, Complex, 33, 24.19534777296519
sw06, Protein, 34, 24.269652616824143
sw06, Complex, 34, 24.23195925200765
sw06, Protein, 35, 24.659681946996262
sw06, Complex, 35, 24.615839304599856
sw06, Protein, 36, 24.312431877372077
sw06, Complex, 36, 24.276219024015298
sw06, Protein, 37, 23.96885426613857
sw06, Complex, 37, 23.932998506318786
sw06, Protein, 38, 23.988309524124595
sw06, Complex, 38, 23.948591675459053
sw06, Protein, 39, 23.582380737828206
sw06, Complex, 39, 23.550463882981933
sw06, Protein, 40, 23.514762975523126
sw06, Complex, 40, 23.477271213748296
sw06, Protein, 41, 23.233097781014557
sw06, Complex, 41, 23.197359506750107
sw06, Protein, 42, 23.63408163618569
sw06, Complex, 42, 23.59309206091814
sw06, Protein, 43, 23.79492985223214
sw06, Complex, 43, 23.76096844833053
sw06, Protein, 44, 23.788260003394743
sw06, Complex, 44, 23.74792658282374
sw06, Protein, 45, 23.8055116143749
sw06, Complex, 45, 23.759425165059405
sw06, Protein, 46, 23.898643761150076
sw06, Complex, 46, 23.855128592017987
sw06, Protein, 47, 23.809767214778397
sw06, Complex, 47, 23.767557151429198
sw06, Protein, 48, 24.04118922861368
sw06, Complex, 48, 23.997517381944395
sw06, Protein, 49, 24.12066377818695
sw06, Complex, 49, 24.078265682171
sw06, Protein, 50, 24.083643459280598
sw06, Complex, 50, 24.0438117413079
sw06, Protein, 51, 24.128909672094764
sw06, Complex, 51, 24.089199141689733
sw06, Protein, 52, 24.481746892607056
sw06, Complex, 52, 24.438327696383855
sw06, Protein, 53, 24.39800493990746
sw06, Complex, 53, 24.357427331422475
sw06, Protein, 54, 23.86427819017229
sw06, Complex, 54, 23.826085372813377
sw06, Protein, 55, 24.285906694040865
sw06, Complex, 55, 24.244510429995284
sw06, Protein, 56, 24.338949569470714
sw06, Complex, 56, 24.29928177548465
sw06, Protein, 57, 24.534776098797447
sw06, Complex, 57, 24.494151455195418
sw06, Protein, 58, 24.40000234567029
sw06, Complex, 58, 24.3595111102898
sw06, Protein, 59, 24.41971329719078
sw06, Complex, 59, 24.382770234254885
sw06, Protein, 60, 24.019892220536853
sw06, Complex, 60, 23.98052265975121
sw06, Protein, 61, 23.948953873555524
sw06, Complex, 61, 23.90982713860521
sw06, Protein, 62, 23.64941822650348
sw06, Complex, 62, 23.610660801422643
sw06, Protein, 63, 23.8322703579103
sw06, Complex, 63, 23.80052952881317
sw06, Protein, 64, 23.4458052837833
sw06, Complex, 64, 23.41247928854171
sw06, Protein, 65, 23.674921052324542
sw06, Complex, 65, 23.63902668972095
sw06, Protein, 66, 23.98412000234126
sw06, Complex, 66, 23.942812958800737
sw06, Protein, 67, 24.2347843460432
sw06, Complex, 67, 24.19853223979577
sw06, Protein, 68, 23.949979475673075
sw06, Complex, 68, 23.91623745403143
sw06, Protein, 69, 24.061470699395446
sw06, Complex, 69, 24.02364204219039
sw06, Protein, 70, 24.083750478219656
sw06, Complex, 70, 24.043850618664933
sw06, Protein, 71, 24.183510738529776
sw06, Complex, 71, 24.14195858042875
sw06, Protein, 72, 24.50009390871432
sw06, Complex, 72, 24.455708707047894
sw06, Protein, 73, 24.694013001700608
sw06, Complex, 73, 24.650286284410747
sw06, Protein, 74, 24.70928556986612
sw06, Complex, 74, 24.667523168308197
sw06, Protein, 75, 24.968438419159586
sw06, Complex, 75, 24.921730332643335
sw06, Protein, 76, 24.858805602203482
sw06, Complex, 76, 24.818234440812702
sw06, Protein, 77, 25.509826058995966
sw06, Complex, 77, 25.464426187302625
sw06, Protein, 78, 25.381768133163188
sw06, Complex, 78, 25.340230981250286
sw06, Protein, 79, 25.41293859214329
sw06, Complex, 79, 25.36223452666491
sw06, Protein, 80, 25.62499039320911
sw06, Complex, 80, 25.57777974994973
sw06, Protein, 81, 25.66569674937277
sw06, Complex, 81, 25.620496404227165
sw06, Protein, 82, 25.492918512586538
sw06, Complex, 82, 25.4565159576498
sw06, Protein, 83, 25.296560168430798
sw06, Complex, 83, 25.25569262066388
sw06, Protein, 84, 24.74281039639962
sw06, Complex, 84, 24.697381622835593
sw06, Protein, 85, 24.605330291124364
sw06, Complex, 85, 24.562916280113328
sw06, Protein, 86, 24.68044647601939
sw06, Complex, 86, 24.642131817607115
sw06, Protein, 87, 24.006952167941257
sw06, Complex, 87, 23.965506734623833
sw06, Protein, 88, 24.118479117179177
sw06, Complex, 88, 24.079466592663305
sw06, Protein, 89, 23.984194767343315
sw06, Complex, 89, 23.94270230795029
sw06, Protein, 90, 23.80607681758046
sw06, Complex, 90, 23.766981655786218
sw06, Protein, 91, 24.162952268811214
sw06, Complex, 91, 24.122276800132088
sw06, Protein, 92, 24.357033398456707
sw06, Complex, 92, 24.31329630733141
sw06, Protein, 93, 24.394539470219662
sw06, Complex, 93, 24.347774238748734
sw06, Protein, 94, 24.36302094700442
sw06, Complex, 94, 24.312604652825662
sw06, Protein, 95, 23.989392261190464
sw06, Complex, 95, 23.9437390234311
sw06, Protein, 96, 23.97117214572593
sw06, Complex, 96, 23.925559575890997
sw06, Protein, 97, 24.56151853478678
sw06, Complex, 97, 24.521692409503228
sw06, Protein, 98, 24.652088755477607
sw06, Complex, 98, 24.606236654628812
sw06, Protein, 99, 24.544498106605563
sw06, Complex, 99, 24.50022195737404
sw06, Protein, 100, 24.403990400234964
sw06, Complex, 100, 24.36211419147663
sw06, Protein, 101, 24.38414699421091
sw06, Complex, 101, 24.348170076273274
sw06, Protein, 102, 24.48768485930931
sw06, Complex, 102, 24.445709588013894
sw06, Protein, 103, 24.777267753167738
sw06, Complex, 103, 24.737027781172657
sw06, Protein, 104, 25.157506881026013
sw06, Complex, 104, 25.120157514174355
sw06, Protein, 105, 25.082728852202383
sw06, Complex, 105, 25.04617356059787
sw06, Protein, 106, 24.234037064948904
sw06, Complex, 106, 24.199278665424977
sw06, Protein, 107, 23.921240168814062
sw06, Complex, 107, 23.884491447982484
sw06, Protein, 108, 23.79282296404444
sw06, Complex, 108, 23.75800890666861
sw06, Protein, 109, 23.929123164814463
sw06, Complex, 109, 23.889256268326516
sw06, Protein, 110, 23.782744243779266
sw06, Complex, 110, 23.747461341996207
sw06, Protein, 111, 23.615625410079396
sw06, Complex, 111, 23.577769338372207
sw06, Protein, 112, 23.37732806113996
sw06, Complex, 112, 23.344572101212332
sw06, Protein, 113, 23.495425692022895
sw06, Complex, 113, 23.45813749853963
sw06, Protein, 114, 23.23912630806386
sw06, Complex, 114, 23.2009312015237
sw06, Protein, 115, 23.347596208897016
sw06, Complex, 115, 23.306291500026852
sw06, Protein, 116, 23.548874430975882
sw06, Complex, 116, 23.508894003005906
sw06, Protein, 117, 23.500246086055697
sw06, Complex, 117, 23.458514612024207
sw06, Protein, 118, 23.59381008540825
sw06, Complex, 118, 23.553064446677308
sw06, Protein, 119, 23.646078910273456
sw06, Complex, 119, 23.60462105857936
sw06, Protein, 120, 23.60301437747041
sw06, Complex, 120, 23.5649561899432
sw06, Protein, 121, 23.717533915674643
sw06, Complex, 121, 23.680091014871188
sw06, Protein, 122, 23.925630812363725
sw06, Complex, 122, 23.88718290835588
sw06, Protein, 123, 24.002392955036786
sw06, Complex, 123, 23.96369738277379
sw06, Protein, 124, 24.295238033007237
sw06, Complex, 124, 24.256874855076514
sw06, Protein, 125, 24.137102527585586
sw06, Complex, 125, 24.096942430310147
sw06, Protein, 126, 24.084634383028067
sw06, Complex, 126, 24.04532966100782
sw06, Protein, 127, 23.967791308205378
sw06, Complex, 127, 23.926708688421627
sw06, Protein, 128, 23.881309902736668
sw06, Complex, 128, 23.842984223074218
sw06, Protein, 129, 23.899788771025
sw06, Complex, 129, 23.859813002616917
sw06, Protein, 130, 23.971176570455928
